Α
Κούλα Αγαγιώτου
Μίνα Αδαμάκη
Αλεξάνδρα Αϊδίνη
Αλεξάνδρα Παλαιολόγου
Μυρτώ Αλικάκη
Σοφία Αλιμπέρτη
Σαπφώ Αλκαίου
Λίντα Άλμα
Κάκια Αναλυτή
Πηνελόπη Αναστασοπούλου
Ελένη Ανουσάκη
Μαλαίνα Ανουσάκη
Ελεάνα Απέργη
Ελένη Αποστολοπούλου
Μπέτυ Αρβανίτη
Παμφίλη Αργυροπούλου
Κίττυ Αρσένη
Μαίρη Αρώνη
Μπεάτα Ασημακοπούλου
Γωγώ Ατζολετάκη
Β
Άννα Βαγενά
Αντιγόνη Βαλάκου
Νόρα Βαλσάμη
Βίκυ Βανίτα
Ρουμπίνη Βασιλακοπούλου
Κατερίνα Βασιλάκου
Γεωργία Βασιλειάδου
Μαρία Βασιλείου
Σοφία Βέμπο
Ελευθερία Βιδάκη
Μαίρη Βιδάλη
Νικολέττα Βλαβιανού
Υβόνη Βλαδίμηρου
Ρένα Βλαχοπούλου
Τιτίκα Βλαχοπούλου
Αλίκη Βουγιουκλάκη
Μάρθα Βούρτση
Σπεράντζα Βρανά
Γ
Γιούλα Γαβαλά
Νόνικα Γαληνέα
Τζόλυ Γαρμπή
Ελένη Γερασιμίδου
Κάτια Γέρου
Αλίκη Γεωργούλη
Μαρία Γιαννακοπούλου
Ντόρα Γιαννακοπούλου
Κατερίνα Γιουλάκη
Σμαρούλα Γιούλη
Γκόλφω Μπίνη
Άντζελα Γκερέκου
Νέλλη Γκίνη
Αφροδίτη Γρηγοριάδου
Κατερίνα Γώγου
Δ
Δέσποινα Στυλιανοπούλου
Όλγα Δαμάνη
Κάτια Δανδουλάκη
Ρία Δελούτση
Ευγενία Δημητροπούλου
Χρυσούλα Διαβάτη
Ρίκα Διαλυνά
Δέσπω Διαμαντίδου
Διονυσία Ρώη
Ζέτα Δούκα
Ε
Εβελίνα Παπούλια
Μαίρη Ευαγγέλου
Τζόυς Ευείδη
Ζ
Φλωρέττα Ζάννα
Σόφη Ζαννίνου
Μέλπω Ζαρόκωστα
Ελένη Ζαφειρίου
Άντζελα Ζήλεια
Βούλα Ζουμπουλάκη
Πέμη Ζούνη
Αλίκη Ζωγράφου
Σόνια Ζωίδου
Θ
Κυβέλη Θεοχάρη
Ι
Σωτηρία Ιατρίδου
Κ
Κάκια Παναγιώτου
Τασσώ Καββαδία
Μαρία Καβογιάννη
Βίκυ Καγιά
Έλια Καλλιγεράκη
Χριστίνα Καλογερίκου
Ξένια Καλογεροπούλου
Άννα Καλουτά
Μαρία Καλουτά
Αλεξία Καλτσίκη
Μαρία Κανελλοπούλου
Μάρθα Καραγιάννη
Καρυοφυλλιά Καραμπέτη
Κόρα Καρβούνη
Τζένη Καρέζη
Όλγα Καρλάτου
Σμαράγδα Καρύδη
Ελένη Καστάνη
Σάσα Καστούρα
Αλέκα Κατσέλη
Νόρα Κατσέλη
Λίλα Καφαντάρη
Ελένη Κοκκίδου
Φρόσω Κοκκόλα
Μάρω Κοντού
Βίκυ Κουλιανού
Ειρήνη Κουμαριανού
Εύα Κουμαριανού
Μυριέλλα Κουρεντή
Μαρίκα Κρεβατά
Μαίρη Κυβέλου
Ηρώ Κυριακάκη
Άννα Κυριακού
Ντίνα Κώνστα
Μήτση Κωνσταντάρα
Ελισάβετ Κωνσταντινίδου
Καίτη Κωνσταντίνου
Λ
Λέλα Πατρικίου
Αλεξάνδρα Λαδικού
Όλια Λαζαρίδου
Μαίρη Λαλοπούλου
Έλλη Λαμπέτη
Αγγελική Λάμπρη
Δάφνη Λαμπρόγιαννη
Καίτη Λαμπροπούλου
Μαριλίτα Λαμπροπούλου
Ζωή Λάσκαρη
Μαρία Λεκάκη
Σωτηρία Λεονάρδου
Κατερίνα Λέχου
Άντα Λιβιτσάνου
Ίλυα Λιβυκού
Νίκη Λινάρδου
Ρένια Λουιζίδου
Υρώ Λούπη
Τατιάνα Λύγαρη
Λιλάντα Λυκιαρδοπούλου
Μ
Μίρκα Παπακωνσταντίνου
Μαίρη Χρονοπούλου
Μπέττυ Μαγγίρα
Ζέτα Μακρυπούλια
Έρση Μαλικένζου
Υβόννη Μαλτέζου
Υρώ Μανέ
Νατάσα Μανίσαλη
Άννα Μαντζουράνη
Αθηνά Μαξίμου
Εύη Μαράντη
Νίτσα Μαρούδα
Θάλεια Ματίκα
Δήμητρα Ματσούκα
Γκέλυ Μαυροπούλου
Έφη Μελά
Μάγια Μελάγια
Νένα Μεντή
Μελίνα Μερκούρη
Αθηνά Μερτύρη
Μαίρη Μεταξά
Μιράντα Μυράτ
Λιάνα Μιχαήλ
Αθηνά Μιχαηλίδου
Μάτα Μιχαλαρέα
Μπέτυ Μοσχονά
Αθανασία Μουστάκα
Ελισάβετ Μουτάφη
Αριέττα Μουτούση
Μπέσυ Μάλφα
Μπέτυ Λιβανού
Θέμις Μπαζάκα
Μαρία Μπακοδήμου
Κατιάνα Μπαλανίκα
Ειρήνη Μπαλτά
Φωτεινή Μπαξεβάνη
Βάνα Μπάρμπα
Ηρώ Μπέζου
Μαρία Μπονέλου
Παρθενόπη Μπουζούρη
Πίτσα Μπουρνόζου
Άντζελα Μπρούσκου
Ν
Νίτσα Τσαγανέα
Έλενα Ναθαναήλ
Μαρία Ναυπλιώτου
Μαρίκα Νέζερ
Δέσποινα Νικολαΐδου
Κάτια Νικολαΐδου
Φανή Νικολαΐδου
Σαπφώ Νοταρά
Ντόρα Σιμοπούλου
Γκιζέλα Ντάλι
Μιμή Ντενίση
Καίτη Ντιριντάουα
Ρένα Ντορ
Τέτα Ντούζου
Εκάβη Ντούμα
Ξ
Φαίη Ξυλά
Ο
Αθηνά Οικονομάκου
Μίνα Ορφανού
Π
Ρένα Παγκράτη
Αλέκα Παΐζη
Άννα Παϊτατζή
Νίκη Παλληκαράκη

Π
Άννα Παναγιωτοπούλου
Βάσια Παναγοπούλου
Καίτη Πάνου
Κατίνα Παξινού
Λίλλη Παπαγιάννη
Δήμητρα Παπαδήμα
Ντορέττα Παπαδημητρίου
Βίκυ Παπαδοπούλου
Έφη Παπαθεοδώρου
Θεοφανία Παπαθωμά
Λένα Παπαληγούρα
Τατιάνα Παπαμόσχου
Καίτη Παπανίκα
Άννα-Μαρία Παπαχαραλάμπους
Αγγελική Παπούλια
Κατερίνα Παπουτσάκη
Ειρήνη Παππά
Ιωάννα Παππά
Ρένα Πασχαλίδου
Δάφνη Πατακιά
Βάνα Πεφάνη
Ιωάννα Πηλιχού
Έφη Πίκουλα
Λουκία Πιστιόλα
Λουίζα Ποδηματά
Ελένη Προκοπίου
Ρ
Ελένη Ράντου
Ρίτα Μουσούρη
Μαίρη Ραζή
Έλσα Ρίζου
Μαρίτα Ρίτζι
Μερόπη Ροζάν
Χρύσα Ρώπα
Σ
Ευαγγελία Σαμιωτάκη
Υβόν Σανσόν
Ζωζώ Σαπουντζάκη
Ζωρζ Σαρή
Δήμητρα Σερεμέτη
Μάριον Σίβα
Δώρα Σιτζάνη
Μαρία Σκουλά
Σούλη Σαμπάχ
Μαρία Σολωμού
Πέγκυ Σταθακοπούλου
Μέμα Σταθοπούλου
Τούλα Σταθοπούλου
Βίκυ Σταυροπούλου
Σμάρω Στεφανίδου
Ρένα Στρατηγού
Στέλλα Στρατηγού
Αλέκα Στρατηγού
Δόρα Στράτου
Άννα Συνοδινού
Ράνια Σχίζα
Τ
Τόνια Σωτηροπούλου
Ταϋγέτη
Τζένη Ρουσσέα
Νάντα Τζάκα
Θεοδώρα Τζήμου
Μαρίκα Τζιραλίδου
Ασπασία Τζιτζικάκη
Νίκη Τριανταφυλλίδη
Ιωάννα Τριανταφυλλίδου
Ντίνα Τριάντη
Βάσια Τριφύλλη
Βασιλική Τρουφάκου
Τάνια Τρύπη
Βίλμα Τσακίρη
Ναταλία Τσαλίκη
Χριστίνα Τσάφου
Κορίνα Τσοπέη
Υ
Αιμιλία Υψηλάντη
Φ
Ελένη Φιλίνη
Σοφία Φιλιππίδου
Καίτη Φίνου
Άννα Φόνσου
Μαρία Φωκά
Έλλη Φωτίου
Χ
Ελένη Χαλκούση
Βούλα Χαριλάου
Ελένη Χατζηαργύρη
Κατερίνα Χέλμη
Χριστίνα Παππά
Χριστίνα Σύλβα
